r,Product SKU,Brand,Parent Category,Sub Category 1,Sub Category 2,Brand Category,Product Name,Weight,Dimensions,Optimised Description?,PDP?,Promo Badges,Number of Offer Categories,Bulk Pricing Rules?,Cross Sells Updated?,Number of Images,Filters Correct?,Batteries Included,Part of a Recipe?,Cost Price ex VAT,Selling Price inc VAT,Selling Price ex VAT,Sale Price inc VAT,Calculated Profit % Per Unit,Stock Value,Calculated Revenue ,Availabile Stock,Supplier Stock,Promotion Availability,On Order?,Total Sales this Year,Total Sales Last Year,Best Seller Status
20209,MAKPDK0056/2,Makita ,Power Tools,Grinders,,Makita Grinders,Makita DK0056-Z1 115mm & 230mm Angle Grinder Twin Pack 240V,Y,Y,,N,N,2,N,02.10.25,3,,N/A,N,145.6,209.66,174.7166667,0,16.67%,0,2795.466667,0,0,0,0,0,16,D
20210,MAKPGA5030R/1,Makita ,Power Tools,Grinders,,Makita Grinders,Makita GA5030R 125mm Slim Body Angle Grinder 720W 110V,Y,Y,,N,N,0,N,#N/A,1,,N/A,N,40.96,67.98,56.65,0,27.70%,0,0,0,0,0,0,0,0,F
20212,MAKP9558NBR/1,Makita ,Power Tools,Grinders,,Makita Grinders,Makita 9558NBR 125mm Anti Restart Angle Grinder 840W 110V,Y,Y,,N,N,0,N,#N/A,1,,N/A,N,59,90.62,75.51666667,0,21.87%,0,75.51666667,0,0,0,0,0,1,E
20216,MAKPKP0810K/1,Makita ,Power Tools,Planers,,Makita Planers,Makita KP0810K 82mm Planer Complete 850W 110V with Carry Case,Y,Y,,N,N,0,N,#N/A,1,,N/A,N,197.63,279.85,233.2083333,0,15.26%,0,0,0,0,0,0,0,0,F
20217,MAKPKP0810K/2,Makita ,Power Tools,Planers,,Makita Planers,Makita KP0810K 82mm Planer Complete 850W 240V with Carry Case,Y,Y,,N,N,0,N,#N/A,1,,N/A,N,197.63,279.85,233.2083333,0,15.26%,0,0,0,0,0,0,0,0,F
20221,MAKPGA4034/1,Makita ,Power Tools,Grinders,,Makita Grinders,Makita GA4034 100mm Angle Grinder 720W 110V,Y,Y,,N,N,0,N,#N/A,1,,N/A,N,48.5,80.9,67.41666667,0,28.06%,0,0,0,0,0,0,0,0,F
20222,MAKPHM0870C/1,Makita ,Power Tools,SDS Max Hammer Drills,,Makita SDS Max Hammer Drills,Makita HM0870C 110V Demolition Hammer SDS Max,Y,Y,,N,N,0,N,29.05.25,1,,N/A,N,332.6,458.98,382.4833333,0,13.04%,0,3442.35,0,0,0,0,0,9,E
20224,MAKPHP1640/1,Makita ,Power Tools,Percussion Drills,,Makita Rotary Drills,Makita HP1640 110V Percussion Drill,Y,Y,,N,N,0,N,30.05.25,1,,N/A,N,65.6,94.46,78.71666667,0,16.66%,0,787.1666667,0,0,0,0,0,10,E
20225,MAKPDPJ180Z,Makita ,Power Tools,Jointers,,Makita Biscuit Jointers,Makita DPJ180Z LXT 18V Biscuit Jointer (Body Only),Y,Y,,N,N,4,N,02.10.25,1,,0,N,187.95,270.65,225.5416667,243.58,16.67%,375.9,4510.833333,2,0,2,0,1,20,D
20229,MAKPJR3070CT/2,Makita ,Power Tools,Reciprocating Saws,,Makita Reciprocating Saws,Makita JR3070CT AVT Reciprocating Saw 1510W 240V,Y,Y,,N,N,0,N,18.12.24,,,N/A,N,214.63,303.92,253.2666667,0,15.26%,0,0,0,0,0,0,0,0,F
